Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.55     0.00      449     0.00     0.00  config_write_string
  0.00      2.55     0.00      425     0.00     0.00  str_to_int
  0.00      2.55     0.00      422     0.00     0.00  x86_isa_jmp_rm32_impl
  0.00      2.55     0.00      416     0.00     0.00  x86_isa_or_rm32_imm32_impl
  0.00      2.55     0.00      412     0.00     0.00  linked_list_create
  0.00      2.55     0.00      412     0.00     0.00  linked_list_free
  0.00      2.55     0.00      412     0.00     0.00  x86_isa_rep_stosb_impl
  0.00      2.55     0.00      405     0.00     0.00  class_dump
  0.00      2.55     0.00      404     0.00     0.00  x86_isa_imul_r32_rm32_imm32_impl
  0.00      2.55     0.00      373     0.00     0.00  hash_table_set
  0.00      2.55     0.00      349     0.00     0.00  x86_isa_setne_rm8_impl
  0.00      2.55     0.00      324     0.00     0.00  repos_create_object
  0.00      2.55     0.00      324     0.00     0.00  repos_free_object
  0.00      2.55     0.00      324     0.00     0.00  si_inst_decode
  0.00      2.55     0.00      324     0.00     0.00  si_uop_create
  0.00      2.55     0.00      324     0.00     0.00  si_wavefront_execute
  0.00      2.55     0.00      316     0.00     0.00  si_uop_free
  0.00      2.55     0.00      314     0.00     0.00  x86_isa_cmove_r32_rm32_impl
  0.00      2.55     0.00      304     0.00     0.00  config_read_ptr
  0.00      2.55     0.00      297     0.00     0.00  esim_schedule_event
  0.00      2.55     0.00      296     0.00     0.00  list_set
  0.00      2.55     0.00      287     0.00     0.00  x86_isa_and_rm32_r32_impl
  0.00      2.55     0.00      282     0.00     0.00  config_section_next
  0.00      2.55     0.00      281     0.00     0.00  x86_isa_sar_rm32_1_impl
  0.00      2.55     0.00      278     0.00     0.00  x86_isa_not_rm32_impl
  0.00      2.55     0.00      263     0.00     0.00  config_var_enforce
  0.00      2.55     0.00      261     0.00     0.00  heap_extract
  0.00      2.55     0.00      261     0.00     0.00  heap_insert
  0.00      2.55     0.00      260     0.00     0.00  si_work_item_create
  0.00      2.55     0.00      257     0.00     0.00  x86_isa_xor_r32_rm32_impl
  0.00      2.55     0.00      249     0.00     0.00  x86_isa_xadd_rm32_r32_impl
  0.00      2.55     0.00      248     0.00     0.00  config_section_exists
  0.00      2.55     0.00      244     0.00     0.00  x86_isa_neg_rm32_impl
  0.00      2.55     0.00      240     0.00     0.00  mem_config_check_route_to_main_memory
  0.00      2.55     0.00      232     0.00     0.00  net_buffer_create
  0.00      2.55     0.00      232     0.00     0.05  net_buffer_free
  0.00      2.55     0.00      230     0.00     0.00  x86_isa_shl_rm32_cl_impl
  0.00      2.55     0.00      218     0.00     0.00  x86_isa_movsx_r32_rm8_impl
  0.00      2.55     0.00      210     0.00     0.00  x86_isa_jecxz_rel8_impl
  0.00      2.55     0.00      192     0.00     0.00  si_isa_write_sreg
  0.00      2.55     0.00      191     0.00     0.00  x86_isa_jb_rel8_impl
  0.00      2.55     0.00      183     0.00     0.00  x86_isa_rep_movsb_impl
  0.00      2.55     0.00      180     0.00     0.00  x86_isa_cmovne_r32_rm32_impl
  0.00      2.55     0.00      178     0.00     0.00  x86_isa_repz_cmpsb_impl
  0.00      2.55     0.00      176     0.00     0.00  str_printf.constprop.0
  0.00      2.55     0.00      175     0.00     0.00  x86_isa_and_eax_imm32_impl
  0.00      2.55     0.00      170     0.00     0.00  x86_isa_cmpsb_run
  0.00      2.55     0.00      170     0.00     0.00  x86_isa_sete_rm8_impl
  0.00      2.55     0.00      164     0.00     0.00  str_free
  0.00      2.55     0.00      137     0.00     0.00  log_base2
  0.00      2.55     0.00      132     0.00     0.00  list_create_with_size
  0.00      2.55     0.00      128     0.00     0.00  config_var_exists
  0.00      2.55     0.00      128     0.00     0.00  si_wavefront_pool_create
  0.00      2.55     0.00      128     0.00     0.00  si_wavefront_pool_free
  0.00      2.55     0.00      128     0.00     0.00  x86_isa_cmovns_r32_rm32_impl
  0.00      2.55     0.00      123     0.00     0.00  X86ContextStoreRm16
  0.00      2.55     0.00      119     0.00     0.00  x86_isa_setb_rm8_impl
  0.00      2.55     0.00      118     0.00     0.06  X86ContextSyscall
  0.00      2.55     0.00      118     0.00     0.06  x86_isa_int_imm8_impl
  0.00      2.55     0.00      116     0.00     0.00  net_link_create
  0.00      2.55     0.00      116     0.00     0.00  net_link_free
  0.00      2.55     0.00      116     0.00     0.00  net_node_add_input_buffer
  0.00      2.55     0.00      116     0.00     0.00  net_node_add_output_buffer
  0.00      2.55     0.00      112     0.00     0.00  str_printf
  0.00      2.55     0.00      110     0.00     0.00  x86_isa_jb_rel32_impl
  0.00      2.55     0.00      109     0.00     0.00  x86_isa_movzx_r32_rm16_impl
  0.00      2.55     0.00      107     0.00     0.00  x86_isa_jle_rel32_impl
  0.00      2.55     0.00      107     0.00     0.00  x86_isa_seta_rm8_impl
  0.00      2.55     0.00      107     0.00     0.00  x86_isa_sub_rm8_r8_impl
  0.00      2.55     0.00      106     0.00     0.00  x86_isa_jp_rel8_impl
  0.00      2.55     0.00      106     0.00     0.00  x86_isa_movsw_impl
  0.00      2.55     0.00      104     0.00     0.00  str_token
  0.00      2.55     0.00      102     0.00     0.00  x86_isa_sbb_rm32_imm8_impl
  0.00      2.55     0.00       98     0.00     0.00  mem_config_insert_module_in_network
  0.00      2.55     0.00       98     0.00     0.00  x86_isa_jl_rel8_impl
  0.00      2.55     0.00       97     0.00     0.00  mod_handler_nmoesi_load
  0.00      2.55     0.00       96     0.00     0.00  config_var_allow
  0.00      2.55     0.00       96     0.00     0.00  net_event_handler
  0.00      2.55     0.00       87     0.00     0.00  repos_create
  0.00      2.55     0.00       87     0.00     0.00  repos_free
  0.00      2.55     0.00       87     0.00     0.00  x86_isa_repz_ret_impl
  0.00      2.55     0.00       84     0.00     0.00  esim_register_event_with_name
  0.00      2.55     0.00       84     0.00     0.00  mod_create
  0.00      2.55     0.00       84     0.00     0.00  mod_free
  0.00      2.55     0.00       82     0.00     0.00  x86_isa_mov_rm16_r16_impl
  0.00      2.55     0.00       77     0.00     0.00  config_write_int
  0.00      2.55     0.00       76     0.00     0.00  str_token_list_first
  0.00      2.55     0.00       75     0.00     0.00  x86_isa_cmovs_r32_rm32_impl
  0.00      2.55     0.00       72     0.00     0.00  list_dequeue
  0.00      2.55     0.00       71     0.00     0.00  x86_isa_jge_rel32_impl
  0.00      2.55     0.00       69     0.00     0.00  x86_isa_sbb_rm32_r32_impl
  0.00      2.55     0.00       68     0.00     0.00  str_set
  0.00      2.55     0.00       68     0.00     0.00  x86_isa_xor_rm32_imm8_impl
  0.00      2.55     0.00       65     0.00     0.12  mem_config_create_switches
  0.00      2.55     0.00       65     0.00     0.00  net_get_node_by_name
  0.00      2.55     0.00       65     0.00     0.00  net_node_create
  0.00      2.55     0.00       65     0.00     0.27  net_node_free
  0.00      2.55     0.00       64     0.00     0.00  linked_list_goto
  0.00      2.55     0.00       64     0.00     0.00  mem_system_get_mod
  0.00      2.55     0.00       64     0.00     0.00  mem_write_string
  0.00      2.55     0.00       64     0.00     0.00  net_buffer_extract
  0.00      2.55     0.00       64     0.00     0.00  net_buffer_insert
  0.00      2.55     0.00       63     0.00     0.00  x86_isa_imul_rm32_impl
  0.00      2.55     0.00       60     0.00     0.00  mod_handler_nmoesi_find_and_lock
  0.00      2.55     0.00       60     0.00     0.00  mod_handler_nmoesi_read_request
  0.00      2.55     0.00       59     0.00     0.00  config_write_ptr
  0.00      2.55     0.00       59     0.00     0.00  list_pop
  0.00      2.55     0.00       59     0.00     0.00  mod_stack_create
  0.00      2.55     0.00       59     0.00     0.00  mod_stack_return
  0.00      2.55     0.00       59     0.00     0.00  mod_stack_wakeup_stack
  0.00      2.55     0.00       58     0.00     0.01  net_add_bidirectional_link
  0.00      2.55     0.00       58     0.00     0.00  net_add_end_node
  0.00      2.55     0.00       58     0.00     0.00  net_get_node_by_user_data
  0.00      2.55     0.00       58     0.00     0.04  routing_table_cycle_detection_dfs_visit
  0.00      2.55     0.00       56     0.00     0.00  str_map_flags
  0.00      2.55     0.00       54     0.00     0.00  x86_isa_cmovae_r32_rm32_impl
  0.00      2.55     0.00       52     0.00     0.00  cache_create
  0.00      2.55     0.00       52     0.00     0.00  cache_free
  0.00      2.55     0.00       52     0.00     0.00  dir_create
  0.00      2.55     0.00       52     0.00     0.00  dir_free
  0.00      2.55     0.00       52     0.00     0.00  esim_execute_event
  0.00      2.55     0.00       51     0.00     0.00  str_token_list_shift
  0.00      2.55     0.00       48     0.00     0.00  str_prefix
  0.00      2.55     0.00       47     0.00     0.00  config_read_bool
  0.00      2.55     0.00       47     0.00     0.00  x86_isa_jg_rel32_impl
  0.00      2.55     0.00       46     0.00     0.00  config_section_enforce
  0.00      2.55     0.00       46     0.00     0.00  str_map_string_case
  0.00      2.55     0.00       45     0.00     0.00  x86_isa_or_r32_rm32_impl
  0.00      2.55     0.00       39     0.00     0.00  mem_map
  0.00      2.55     0.00       39     0.00     0.00  x86_isa_mov_rm16_imm16_impl
  0.00      2.55     0.00       36     0.00     0.00  elf_buffer_read
  0.00      2.55     0.00       36     0.00     0.00  elf_buffer_tell
  0.00      2.55     0.00       36     0.00     0.00  mod_access
  0.00      2.55     0.00       36     0.00     0.00  mod_access_finish
  0.00      2.55     0.00       36     0.00     0.00  mod_access_start
  0.00      2.55     0.00       36     0.00     0.00  mod_can_coalesce
  0.00      2.55     0.00       36     0.00     0.00  x86_isa_jl_rel32_impl
  0.00      2.55     0.00       36     0.00     0.00  x86_isa_js_rel32_impl
  0.00      2.55     0.00       33     0.00     0.00  config_get_file_name
