Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.55     0.00    17920     0.00     0.00  si_isa_V_LSHLREV_B32_impl
  0.00      0.55     0.00    16721     0.00     0.00  x86_isa_imul_r32_rm32_impl
  0.00      0.55     0.00    16494     0.00     0.00  x86_isa_mov_ir32_imm32_impl
  0.00      0.55     0.00    16451     0.00     0.00  X86ContextLoadDouble
  0.00      0.55     0.00    16388     0.00     0.00  X86ContextLoadFloat
  0.00      0.55     0.00    16387     0.00     0.00  x86_isa_fild_m32_impl
  0.00      0.55     0.00    16182     0.00     0.00  dir_lock_get
  0.00      0.55     0.00    16110     0.00     0.00  x86_isa_push_ir32_impl
  0.00      0.55     0.00    14939     0.00     0.00  x86_isa_jne_rel32_impl
  0.00      0.55     0.00    14296     0.00     0.00  x86_isa_jbe_rel8_impl
  0.00      0.55     0.00    12812     0.00     0.00  net_node_schedule
  0.00      0.55     0.00    12036     0.00     0.00  net_msg_create
  0.00      0.55     0.00    12036     0.00     0.00  net_msg_free
  0.00      0.55     0.00    12036     0.00     0.00  net_receive
  0.00      0.55     0.00    12036     0.00     0.00  net_stack_create
  0.00      0.55     0.00    11912     0.00     0.00  x86_isa_pop_ir32_impl
  0.00      0.55     0.00    10983     0.00     0.00  mod_find_block
  0.00      0.55     0.00    10983     0.00     0.00  mod_lock_port
  0.00      0.55     0.00    10983     0.00     0.00  mod_unlock_port
  0.00      0.55     0.00    10234     0.00     0.00  x86_isa_shr_rm32_1_impl
  0.00      0.55     0.00     9789     0.00     0.00  cache_get_block
  0.00      0.55     0.00     9649     0.00     0.00  X86ContextMoffsAddress
  0.00      0.55     0.00     9512     0.00     0.00  dir_entry_get
  0.00      0.55     0.00     9455     0.00     0.00  x86_isa_cmpxchg_rm32_r32_impl
  0.00      0.55     0.00     9385     0.00     0.00  x86_isa_jmp_rel32_impl
  0.00      0.55     0.00     8817     0.00     0.00  hash_table_find_next
  0.00      0.55     0.00     8597     0.00     0.00  x86_isa_cmovbe_r32_rm32_impl
  0.00      0.55     0.00     8559     0.00     0.00  dir_entry_lock
  0.00      0.55     0.00     8522     0.00     0.00  x86_isa_mov_eax_moffs32_impl
  0.00      0.55     0.00     8450     0.00     0.00  x86_isa_setl_rm8_impl
  0.00      0.55     0.00     8330     0.00     0.00  cache_access_block
  0.00      0.55     0.00     8330     0.00     0.00  cache_set_transient_tag
